ID;type;description;nbAns;Answer1;Answer2;Answer3;Answer4;Answer5;Answer6;Answer7;Answer8;Answer9;Answer10;Answer11;Valid1;Valid2;Valid3;Valid4;Valid5;Valid6;Valid7;Valid8;Valid9;Valid10;Valid11
1;SAP;Which of the following generic types can you use to define a field symbol that will be assigned to a character string?;3;Type xsequence;Type any;Type clike;Type any table;Type csequence;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL
2;SAP;You have created the following:- A class with an event definition- A handler class with a method ON EVT that handles this event- A report that instantiates the handler class-A message statement that raises an exceptionHowever, the report does not react to the event. How do you analyze this issue?;3;Check if the event is triggered by setting a breakpoint at the MESSAGE ... RAISING ... statement.;Check if the handler method ON_EVT is defined in a subroutine of the report.;Check if the event is triggered by setting a breakpoint at the RAISE EVENT statement;Check if the handler method is registered to the correct event.;Check if the implementation of the handler method ON_EVT contains the desired logic.;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL
3;SAP;Which screen in the ABAP Dictionary allows you to log data changes to the table?;1;Attributes tab;Utilities \x02 Settings;Technical Settings;Delivery and Maintenance tab;Utilities \x02 Database Object \x02 Database Utility;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL
4;SAP;You want to develop a validation routine for a selection screen field. If a wrong value is entered into the field an error message should be displayed and the focus should move to the field. Which event do you use to achieve this?;1;AT SELECTION-SCREEN;START-OF-SELECTION;INITIALIZATION;END-OF-SELECTION;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5;SAP;Which objects are automatically created when you create a new function group?;1;A function pool and two include programs;A function pool and two function modules;A function pool and two module pools;A function pool and two subroutine pools;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;SAP;In an ABAP program you have the following code sequence:DATA text TYPE string.DATA Text_ref TYPE REF TO string.DATA data_ref TYPE REF TO data.FIELD-SYMBOLS <fs> TYPE anyText = Content of Data ObjectGET REFERENCE OF text INTO data_ref.Which of the following pieces of code can you use to output the content of variable text?;2;text_ref ?= data_ref.;WRITE text_ref->*.;ASSIGN data_ref->* TO<fs>;WRITE <fs>;GET REFERENCE OF data_ref->* INTO text_ref. WRITE text_ref->*.;WRITE data_ref->*.;NULL;NULL;NULL;NULL;NULL;1;0;1;0;0;0;NULL;NULL;NULL;NULL;NULL
7;SAP;Which of the followings components are part of SAP NetWeaver AS ABAP version 7.1x and higher?;2;SAP GUI for Java;Internet Communication Manager (ICM);Message Server;Software Deployment Manager (SOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8;SAP;You want to add a field ZZPRICE to the SAP standard transparent table EKKO.Which of the following actions result in an enhancement of the SAP standard?;2;Create an append structure and add ZZPRICE to it.;Insert ZZPRICE at the end of the table;Add ZZPRICE to the customizing include for the table;Insert ZZPRICE into an SAP structure for the table;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9;SAP;What can be implemented using an implicit enhancement option?;3;Overwrite methods for SAP function modules;Additional exceptions in SAP function modules;Overwrite methods for global SAP classes;Additional parameters in SAP function modules;Additional attributes for global SAP classes;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL
10;SAP;What are the advantages of defining texts symbols in executable programs?;2;They facilitate multilingual functionality.;They can store up to 256 characters.;The text of the text symbol can be changed at runtime;They are easier to maintain than literals.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11;SAP;At most, how many menu items (including functions, separators and sub- menus) can a menu have on the screen?;1;15;10;20;None of the above;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
12;SAP;Which of the following features do you have to consider when you use shared objects?;3;Data is saved as attributes of objects;Concurrent write accesses are supported;Memory bottlenecks result in runtime errors and have to be caught;Concurrent read accesses are supported;Data is saved as tables of objects;NULL;NULL;NULL;NULL;NULL;NULL;1;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
13;SAP;For which of the following purposes can you use the ABAP dictionary?;2;To create development classes;To activate logging for transparent tables;To create lock objects;To maintain program translations;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
14;SAP;You want to define a field symbol that will be assigned to a character string. Which generic types can you use?;3;xsequence;csequence;any table;clike;any;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
15;SAP;You need to create a piece of code that can be used by multiple programs. Which of the following techniques does SAP recommend?;2;Use a function module in a function group.;Use an include program.;Use a method in a local class.;Use a method in a global class;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
